rate,candidate,path_m,frequency_hz,magnitude_error_db,phase_error_rad,group_delay_error_ns,complex_error
44100,lagrange3,0.005,4000.0,0.020092328995952955,-0.0016322053372471287,311.06443889113484,0.0028343643145041187
44100,lagrange3,0.005,8000.0,0.12538404787385438,-0.03784018327784985,3118.852397797652,0.04079141150027324
44100,lagrange3,0.005,12000.0,-0.2533500124861277,-0.17291607753248292,7532.310785435442,0.1726109229097731
44100,lagrange3,0.005,16000.0,-2.564389400563459,-0.3916214273752046,8895.17405190042,0.421974243532945
44100,lagrange3,0.015,4000.0,0.03212803620854122,-0.0019206190235046654,369.9820617524582,0.004175506219409832
44100,lagrange3,0.015,8000.0,0.30911427186222784,-0.04781527355520852,4109.781163111926,0.06067301487662346
44100,lagrange3,0.015,12000.0,0.5944798389329013,-0.24347871774335683,11892.193112272269,0.26112532940558275
44100,lagrange3,0.015,16000.0,0.19629110403640587,-0.6591801507306958,21417.172011630824,0.6550649671574637
44100,lagrange3,0.03,4000.0,0.008063345211708798,-0.00026371583858321717,51.51705453650525,0.0009655060692949855
44100,lagrange3,0.03,8000.0,0.10449070933844314,-0.007326553982861563,672.0926860665647,0.014170407167647796
44100,lagrange3,0.03,12000.0,0.36928628622815796,-0.043419681496464475,2362.4988796568796,0.06207426223923971
44100,lagrange3,0.03,16000.0,0.712178010736094,-0.12990807349259523,4492.118738472241,0.15998029085495122
44100,lagrange3,0.05,4000.0,-0.020907337789817806,1.551829393568244e-05,-3.05725907604078,0.0024042015663989246
44100,lagrange3,0.05,8000.0,-0.3135915553793988,0.0004706345961211279,-45.930377405593504,0.03546261380892165
44100,lagrange3,0.05,12000.0,-1.4803141976266159,0.0035305939599150167,-239.8819222324431,0.15672928657750412
44100,lagrange3,0.05,16000.0,-4.57142154049756,0.01726960692671399,-1067.9069506505489,0.40943095255495127
44100,lagrange7,0.005,4000.0,-0.0001367314125190002,-0.00012468330969177775,37.69177631923687,0.0001256721245550696
44100,lagrange7,0.005,8000.0,-0.20607959563357764,0.005959322891934809,-2482.5922317209233,0.024174807100993585
44100,lagrange7,0.005,12000.0,1.4602906200259926,0.30735895281140646,-8248.746105752141,0.3800088388218109
44100,lagrange7,0.005,16000.0,8.958011029380945,-0.267289954569323,46528.55058411996,1.8591575320160367
44100,lagrange7,0.015,4000.0,3.174475326482852e-05,-0.00014558561932501225,45.50872078727573,0.00014563175211745427
