rate,conditioner,nonlinearity,audible_raw_energy,audible_conditioned_energy,audible_raw_alias_energy,audible_conditioned_alias_energy,scope
96000,iir-p16000-s18000,x^2,6750000.000000035,3.104886984483021e-37,4.0472510406044326e-16,3.104887382734226e-37,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,iir-p16000-s18000,x^3,1063476.562500022,1.5445239643997246e-58,509765.6250000027,1.5445240477930576e-58,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir17-p16000-s18000,x^2,6750000.000000035,38.436120623292744,4.0472510406044326e-16,1.5390507693240528e-18,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir17-p16000-s18000,x^3,1063476.562500022,0.024458892745633308,509765.6250000027,1.997143977049137e-06,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir33-p16000-s18000,x^2,6750000.000000035,2.173248545784167e-05,4.0472510406044326e-16,2.5608448852947953e-21,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir33-p16000-s18000,x^3,1063476.562500022,2.149821386167096e-11,509765.6250000027,2.1920655423422023e-15,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir65-p16000-s18000,x^2,6750000.000000035,4.123586416011362e-08,4.0472510406044326e-16,2.7354483015613417e-23,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir65-p16000-s18000,x^3,1063476.562500022,2.6037526181471e-16,509765.6250000027,1.801877806216397e-18,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir129-p16000-s18000,x^2,6750000.000000035,3.065483983958014e-11,4.0472510406044326e-16,3.04485120296335e-25,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir129-p16000-s18000,x^3,1063476.562500022,1.068403586891591e-20,509765.6250000027,5.739564827507803e-21,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,iir-p16000-s19000,x^2,6750000.000000035,6.914799254164493e-28,4.0472510406044326e-16,5.516233967586023e-30,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,iir-p16000-s19000,x^3,1063476.562500022,1.3912265903025844e-42,509765.6250000027,4.817762736503323e-44,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir17-p16000-s19000,x^2,6750000.000000035,102.02651388640894,4.0472510406044326e-16,2.3246760173487868e-18,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir17-p16000-s19000,x^3,1063476.562500022,0.093325898026878,509765.6250000027,1.3001521538494832e-06,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir33-p16000-s19000,x^2,6750000.000000035,6.975943287521422e-05,4.0472510406044326e-16,1.9634559624984602e-20,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir33-p16000-s19000,x^3,1063476.562500022,6.054887911117255e-10,509765.6250000027,8.25177099728958e-11,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir65-p16000-s19000,x^2,6750000.000000035,3.86694579301807e-09,4.0472510406044326e-16,1.038765094268549e-23,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir65-p16000-s19000,x^3,1063476.562500022,1.7719161849809352e-17,509765.6250000027,3.0703022005747233e-18,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir129-p16000-s19000,x^2,6750000.000000035,8.931352044360823e-09,4.0472510406044326e-16,1.0969238021240045e-23,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir129-p16000-s19000,x^3,1063476.562500022,4.1900412501615476e-17,509765.6250000027,1.3760322843514131e-17,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,iir-p16000-s20000,x^2,6750000.000000035,6.417753932929759e-19,4.0472510406044326e-16,2.3675185864002534e-26,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,iir-p16000-s20000,x^3,1063476.562500022,5.372165284105456e-30,509765.6250000027,8.839117280316349e-37,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir17-p16000-s20000,x^2,6750000.000000035,248.37025759823143,4.0472510406044326e-16,3.413941494024919e-18,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir17-p16000-s20000,x^3,1063476.562500022,0.31781326780066194,509765.6250000027,5.557076091756818e-09,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir33-p16000-s20000,x^2,6750000.000000035,0.0002252324996691166,4.0472510406044326e-16,8.79505519232781e-20,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir33-p16000-s20000,x^3,1063476.562500022,1.1870469549216574e-08,509765.6250000027,4.497117600846939e-09,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir65-p16000-s20000,x^2,6750000.000000035,9.505296646269113e-08,4.0472510406044326e-16,6.66798043084695e-23,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir65-p16000-s20000,x^3,1063476.562500022,1.952998750725085e-15,509765.6250000027,4.06975578729488e-17,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir129-p16000-s20000,x^2,6750000.000000035,1.2080691500900432e-08,4.0472510406044326e-16,1.8220143781079478e-23,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir129-p16000-s20000,x^3,1063476.562500022,7.095153215764082e-17,509765.6250000027,8.35235184879109e-18,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,iir-p16000-s24000,x^2,6750000.000000035,1.8364305655387775e-05,4.0472510406044326e-16,6.7521494102453964e-21,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,iir-p16000-s24000,x^3,1063476.562500022,4.2970339984090555e-11,509765.6250000027,9.327386269435101e-24,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir17-p16000-s24000,x^2,6750000.000000035,4495.803457583675,4.0472510406044326e-16,1.2496520721415012e-17,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir17-p16000-s24000,x^3,1063476.562500022,17.495375301278422,509765.6250000027,0.0005759565449128794,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir33-p16000-s24000,x^2,6750000.000000035,2.272170889656043,4.0472510406044326e-16,3.731175377099691e-18,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir33-p16000-s24000,x^3,1063476.562500022,0.0029052698192131425,509765.6250000027,7.78758246979567e-07,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir65-p16000-s24000,x^2,6750000.000000035,0.0003393926090093264,4.0472510406044326e-16,9.578409049845951e-20,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir65-p16000-s24000,x^3,1063476.562500022,1.1159683726222726e-08,509765.6250000027,8.279957460366994e-11,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir129-p16000-s24000,x^2,6750000.000000035,4.843184895502533e-09,4.0472510406044326e-16,5.2260865220071213e-23,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir129-p16000-s24000,x^3,1063476.562500022,1.2945725863560655e-16,509765.6250000027,4.440479616605584e-17,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,iir-p18000-s19000,x^2,6750000.000000035,5.966723673070793e-39,4.0472510406044326e-16,5.966723673070794e-39,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,iir-p18000-s19000,x^3,1063476.562500022,8.909454070778316e-62,509765.6250000027,8.909454070778316e-62,synthetic IMD/alias stress; not implemented Ice or measured playback
96000,fir17-p18000-s19000,x^2,6750000.000000035,561.2600359741874,4.0472510406044326e-16,4.8858087147973146e-18,synthetic IMD/alias stress; not implemented Ice or measured playback
